"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2021","-","-","-","     5542.87","       52329451","         1714.20"
"04-Jan-2021","-","-","-","     5627.34","      128978928","         4124.11"
"05-Jan-2021","-","-","-","     5604.06","      123505188","         4591.80"
"06-Jan-2021","-","-","-","     5595.07","      179165174","         6761.34"
"07-Jan-2021","-","-","-","     5611.69","      106692235","         4594.02"
"08-Jan-2021","-","-","-","     5691.37","      129500162","         4595.44"
"11-Jan-2021","-","-","-","     5686.98","      117388249","         4611.82"
"12-Jan-2021","-","-","-","     5784.12","      176986017","         6310.43"
"13-Jan-2021","-","-","-","     5801.69","      187211575","         5425.22"
"14-Jan-2021","-","-","-","     5873.76","      131718347","         4192.64"
"15-Jan-2021","-","-","-","     5751.34","      137695607","         4100.29"
"18-Jan-2021","-","-","-","     5696.07","      149088055","         5408.68"
"19-Jan-2021","-","-","-","     5778.48","      106814186","         4500.58"
"20-Jan-2021","-","-","-","     5817.54","       90629108","         4193.59"
"21-Jan-2021","-","-","-","     5759.90","      128014929","         5784.70"
"22-Jan-2021","-","-","-","     5671.20","      122813410","         4840.45"
"25-Jan-2021","-","-","-","     5539.08","      129102340","         6644.86"
"27-Jan-2021","-","-","-","     5438.57","      134650589","         5561.97"
"28-Jan-2021","-","-","-","     5456.46","      109748047","         4482.71"
"29-Jan-2021","-","-","-","     5379.75","      179394171","         5959.71"
"01-Feb-2021","-","-","-","     5498.95","      149042359","         5119.49"
"02-Feb-2021","-","-","-","     5618.89","      133210877","         5541.17"
"03-Feb-2021","-","-","-","     5655.47","      150234849","         4806.41"
"04-Feb-2021","-","-","-","     5711.51","      167543557","         4531.16"
"05-Feb-2021","-","-","-","     5665.43","      108850268","         3259.47"
"08-Feb-2021","-","-","-","     5771.16","      137991827","         4143.65"
"09-Feb-2021","-","-","-","     5803.37","      164793182","         4886.29"
"10-Feb-2021","-","-","-","     5803.94","      119103240","         4002.00"
"11-Feb-2021","-","-","-","     5910.18","      127994803","         6165.07"
"12-Feb-2021","-","-","-","     5840.24","       90676687","         4260.65"
"15-Feb-2021","-","-","-","     5839.38","       90360260","         2976.79"
"16-Feb-2021","-","-","-","     5957.82","      159452409","         4472.95"
"17-Feb-2021","-","-","-","     5977.48","      110532524","         4272.55"
"18-Feb-2021","-","-","-","     6160.97","      390995408","         9216.96"
"19-Feb-2021","-","-","-","     6117.90","      242251510","         6785.65"
"22-Feb-2021","-","-","-","     6003.92","      123429948","         4325.14"
"23-Feb-2021","-","-","-","     6089.25","      215116064","         5787.39"
"24-Feb-2021","-","-","-","     6145.79","       95190689","         2645.94"
"25-Feb-2021","-","-","-","     6362.59","      237749848","         7438.58"
"26-Feb-2021","-","-","-","     6164.50","      206515030","         7138.56"
"01-Mar-2021","-","-","-","     6279.56","      128516142","         3799.22"
"02-Mar-2021","-","-","-","     6346.68","      166181210","         5263.49"
"03-Mar-2021","-","-","-","     6498.01","      126832382","         5809.19"
"04-Mar-2021","-","-","-","     6471.81","      113727911","         4282.89"
"05-Mar-2021","-","-","-","     6481.65","      184259245","         5850.72"
"08-Mar-2021","-","-","-","     6570.59","      213280528","         5264.34"
"09-Mar-2021","-","-","-","     6468.19","      310120079","        12078.28"
"10-Mar-2021","-","-","-","     6429.37","      105792899","         3212.84"
"12-Mar-2021","-","-","-","     6416.80","      128809982","         4585.67"
"15-Mar-2021","-","-","-","     6370.45","      105301843","         3800.24"
"16-Mar-2021","-","-","-","     6353.44","      102986851","         3404.28"
"17-Mar-2021","-","-","-","     6169.18","      131657114","         4789.51"
"18-Mar-2021","-","-","-","     6087.89","      113661797","         4093.19"
"19-Mar-2021","-","-","-","     6190.49","      204166021","         7355.43"
"22-Mar-2021","-","-","-","     6219.06","       96481663","         3793.06"
"23-Mar-2021","-","-","-","     6251.88","       90200559","         3554.00"
"24-Mar-2021","-","-","-","     6164.66","       95942036","         3314.23"
"25-Mar-2021","-","-","-","     6011.38","      128651930","         4182.77"
"26-Mar-2021","-","-","-","     6064.39","       94018236","         3443.35"
"30-Mar-2021","-","-","-","     6141.64","      159432970","         4336.54"
"31-Mar-2021","-","-","-","     6147.95","       99105723","         3317.91"
"01-Apr-2021","-","-","-","     6283.58","       81818808","         2723.50"
"05-Apr-2021","-","-","-","     6230.78","       86622247","         3273.13"
"06-Apr-2021","-","-","-","     6237.03","       60801396","         2682.74"
"07-Apr-2021","-","-","-","     6243.95","       88845593","         3993.42"
"08-Apr-2021","-","-","-","     6207.64","       79104004","         2962.95"
"09-Apr-2021","-","-","-","     6228.94","       70175551","         2975.30"
"12-Apr-2021","-","-","-","     5932.82","      102034545","         3688.98"
"13-Apr-2021","-","-","-","     6052.97","       93283521","         3317.17"
"15-Apr-2021","-","-","-","     6130.98","       91427831","         3404.35"
"16-Apr-2021","-","-","-","     6153.24","       82408715","         3169.62"
"19-Apr-2021","-","-","-","     6038.84","       79562033","         3156.74"
"20-Apr-2021","-","-","-","     6044.96","       80687149","         2954.64"
"22-Apr-2021","-","-","-","     6081.97","       67488994","         2624.47"
"23-Apr-2021","-","-","-","     6085.22","       93104360","         3211.82"
"26-Apr-2021","-","-","-","     6122.87","       58031721","         2984.07"
"27-Apr-2021","-","-","-","     6191.16","       66512169","         2966.70"
"28-Apr-2021","-","-","-","     6205.92","       52126127","         2734.85"
"29-Apr-2021","-","-","-","     6228.25","       62021109","         2737.15"
"30-Apr-2021","-","-","-","     6265.34","      186252817","         4921.23"
"03-May-2021","-","-","-","     6257.51","       86271419","         3645.80"
"04-May-2021","-","-","-","     6269.14","      111602475","         3922.82"
"05-May-2021","-","-","-","     6317.17","      121368435","         3044.95"
"06-May-2021","-","-","-","     6386.23","       95581678","         2922.88"
"07-May-2021","-","-","-","     6424.42","      100307553","         2998.58"
"10-May-2021","-","-","-","     6489.76","      120375689","         3232.91"
"11-May-2021","-","-","-","     6619.50","      199216253","         4406.09"
"12-May-2021","-","-","-","     6536.75","      150179424","         3638.51"
"14-May-2021","-","-","-","     6416.08","       93975333","         3014.32"
"17-May-2021","-","-","-","     6508.37","       75465796","         2481.15"
"18-May-2021","-","-","-","     6616.18","      108569797","         3202.74"
